"","site.name","mblm_slope","mblm_intercept","mblm_pvalue","LTER","mblm_sig"
"1","ALBION",0,0,0.0346105575157073,"NWT","sig"
"2","Andersen Creek at H1",NA,0,0.0346105575157073,"MCM","sig"
"3","Canada Stream at F1",0.0584921839311035,-120.589716964415,0.121275800667467,"MCM","not sig"
"4","Green Creek at F9",-0.102252386515928,202.77333066056,0.0209745371127849,"MCM","sig"
"5","Kolyma",NA,0,0.371093369522698,"GRO","not sig"
"6","Lawson Creek at B3",0,0,0.528612125255688,"MCM","not sig"
"7","Lena",NA,0,0.528612125255688,"GRO","not sig"
"8","Mackenzie",0,0,0.787406490666269,"GRO","not sig"
"9","MARTINELLI",0,0,0.0519129649350183,"NWT","sig"
"10","Ob",NA,0,1,"GRO","not sig"
"11","Onyx River at Lake Vanda Weir",NA,0,1,"MCM","not sig"
"12","Onyx River at Lower Wright Weir",NA,0,1,"MCM","not sig"
"13","Priscu Stream at B1",NA,0,1,"MCM","not sig"
"14","SADDLE STREAM 007",0,0,0.177529852412153,"NWT","not sig"
"15","Von Guerard Stream at F6",NA,0,0.422678074170635,"MCM","not sig"
"16","Yenisey",NA,0,0.414823067184775,"GRO","not sig"
"17","Yukon",NA,0,0.414823067184775,"GRO","not sig"
