"","site.name","mblm_slope","mblm_intercept","mblm_pvalue","LTER","mblm_sig","n"
"1","ALBION",0.0209302231209699,-42.4786195275172,0.0830078125,"NWT","sig",11
"2","Andersen Creek at H1",0.0893723415205963,-181.844523091822,0.0975125381781096,"MCM","sig",4
"3","Canada Stream at F1",0.0769874359324447,-157.598716219099,0.00836181640625,"MCM","sig",15
"4","Green Creek at F9",-0.189143746582546,377.420234190265,0.0008544921875,"MCM","sig",15
"5","Kolyma",-0.196730531642346,390.165719072084,0.0583979067493014,"GRO","sig",8
"6","Lawson Creek at B3",-0.0253559747871048,48.8575548160447,0.0661925797221934,"MCM","sig",10
"7","Lena",-0.35206462792296,703.2345726229,0.00251649656384151,"GRO","sig",12
"8","Mackenzie",-0.447150463487436,895.561408247527,0.0583979067493014,"GRO","sig",8
"9","MARTINELLI",-0.109982587204983,215.381992409283,0.02734375,"NWT","sig",9
"10","Ob",-0.0289788177932349,56.6669501409768,0.0322007647525047,"GRO","sig",10
"11","Onyx River at Lake Vanda Weir",0.0532068669874254,-115.198160394453,0.25,"MCM","not sig",3
"12","Onyx River at Lower Wright Weir",0.0218200732340819,-34.5965292702708,1,"MCM","not sig",3
"13","Priscu Stream at B1",-0.0268461336378183,50.4158335999387,0.75,"MCM","not sig",3
"14","SADDLE STREAM 007",-0.117090469547008,235.412698341805,0.125,"NWT","not sig",5
"15","Von Guerard Stream at F6",-0.211617551386505,417.796048922293,0.34577858615116,"MCM","not sig",2
"16","Yenisey",0.00236218789108265,-7.53805801642665,0.725639961619879,"GRO","not sig",8
"17","Yukon",-0.0984722486600171,196.417351123124,0.0546875,"GRO","sig",9
